Humedad	Hora			
983	18:02:00			
347	18:02:30			
351	18:03:00			
350	18:03:30			
349	18:04:00			
346	18:04:30			
340	18:05:00			
332	18:05:30			
322	18:06:00			
313	18:06:30			
300	18:07:00			
292	18:07:30			
284	18:08:00			
277	18:08:30			
273	18:09:00			
270	18:09:30			
268	18:10:00			
263	18:10:30			
258	18:11:00			
256	18:11:30			
256	18:12:00			
254	18:12:30			
252	18:13:00			
251	18:13:30			
249	18:14:00			
250	18:14:30			
250	18:15:00			
249	18:15:30			
249	18:16:00			
249	18:16:30			
248	18:17:00			
249	18:17:30			
249	18:18:00			
248	18:18:30			
248	18:19:00			
247	18:19:30			
248	18:20:00			
247	18:20:30			
248	18:21:00			
248	18:21:30			
248	18:22:00			
248	18:22:30			
248	18:23:00			
247	18:23:30			
248	18:24:00			
248	18:24:30			
247	18:25:00			
248	18:25:30			
249	18:26:00			
250	18:26:30			
251	18:27:00			
251	18:27:30			
249	18:28:00			
250	18:28:30			
250	18:29:00			
249	18:29:30			
249	18:30:00			
250	18:30:30			
251	18:31:00			
250	18:31:30			
252	18:32:00			
251	18:32:30			
251	18:33:00			
253	18:33:30			
251	18:34:00			
253	18:34:30			
253	18:35:00			
255	18:35:30			
254	18:36:00			
254	18:36:30			
253	18:37:00			
254	18:37:30			
255	18:38:00			
254	18:38:30			
256	18:39:00			
256	18:39:30			
256	18:40:00			
256	18:40:30			
256	18:41:00			
254	18:41:30			
257	18:42:00			
257	18:42:30			
257	18:43:00			
258	18:43:30			
257	18:44:00			
258	18:44:30			
258	18:45:00			
258	18:45:30			
260	18:46:00			
259	18:46:30			
260	18:47:00			
260	18:47:30			
261	18:48:00			
260	18:48:30			
260	18:49:00			
261	18:49:30			
260	18:50:00			
262	18:50:30			
262	18:51:00			
262	18:51:30			
262	18:52:00			
263	18:52:30			
262	18:53:00			
264	18:53:30			
263	18:54:00			
262	18:54:30			
264	18:55:00			
264	18:55:30			
265	18:56:00			
263	18:56:30			
265	18:57:00			
265	18:57:30			
266	18:58:00			
266	18:58:30			
268	18:59:00			
269	18:59:30			
270	19:00:00			
269	19:00:30			
271	19:01:00			
271	19:01:30			
269	19:02:00			
271	19:02:30			
271	19:03:00			
272	19:03:30			
272	19:04:00			
272	19:04:30			
272	19:05:00			
274	19:05:30			
274	19:06:00			
276	19:06:30			
274	19:07:00			
275	19:07:30			
274	19:08:00			
273	19:08:30			
275	19:09:00			
277	19:09:30			
277	19:10:00			
278	19:10:30			
280	19:11:00			
279	19:11:30			
281	19:12:00			
278	19:12:30			
279	19:13:00			
282	19:13:30			
283	19:14:00			
283	19:14:30			
284	19:15:00			
285	19:15:30			
284	19:16:00			
285	19:16:30			
287	19:17:00			
290	19:17:30			
288	19:18:00			
289	19:18:30			
288	19:19:00			
291	19:19:30			
290	19:20:00			
294	19:20:30			
294	19:21:00			
296	19:21:30			
297	19:22:00			
299	19:22:30			
296	19:23:00			
299	19:23:30			
302	19:24:00			
303	19:24:30			
304	19:25:00			
306	19:25:30			
305	19:26:00			
305	19:26:30			
308	19:27:00			
309	19:27:30			
310	19:28:00			
313	19:28:30			
312	19:29:00			
313	19:29:30			
315	19:30:00			
317	19:30:30			
318	19:31:00			
318	19:31:30			
319	19:32:00			
318	19:32:30			
318	19:33:00			
320	19:33:30			
320	19:34:00			
322	19:34:30			
324	19:35:00			
322	19:35:30			
322	19:36:00			
323	19:36:30			
322	19:37:00			
322	19:37:30			
324	19:38:00			
324	19:38:30			
323	19:39:00			
324	19:39:30			
323	19:40:00			
322	19:40:30			
321	19:41:00			
321	19:41:30			
320	19:42:00			
320	19:42:30			
319	19:43:00			
317	19:43:30			
318	19:44:00			
317	19:44:30			
318	19:45:00			
317	19:45:30			
317	19:46:00			
315	19:46:30			
315	19:47:00			
314	19:47:30			
315	19:48:00			
314	19:48:30			
313	19:49:00			
313	19:49:30			
311	19:50:00			
312	19:50:30			
311	19:51:00			
312	19:51:30			
311	19:52:00			
311	19:52:30			
311	19:53:00			
309	19:53:30			
309	19:54:00			
309	19:54:30			
308	19:55:00			
309	19:55:30			
309	19:56:00			
308	19:56:30			
308	19:57:00			
308	19:57:30			
306	19:58:00			
306	19:58:30			
306	19:59:00			
305	19:59:30			
305	20:00:00			
304	20:00:30			
305	20:01:00			
305	20:01:30			
303	20:02:00			
303	20:02:30			
303	20:03:00			
303	20:03:30			
302	20:04:00			
302	20:04:30			
302	20:05:00			
302	20:05:30			
302	20:06:00			
300	20:06:30			
302	20:07:00			
301	20:07:30			
300	20:08:00			
301	20:08:30			
299	20:09:00			
300	20:09:30			
300	20:10:00			
298	20:10:30			
297	20:11:00			
299	20:11:30			
297	20:12:00			
297	20:12:30			
297	20:13:00			
297	20:13:30			
298	20:14:00			
297	20:14:30			
297	20:15:00			
297	20:15:30			
297	20:16:00			
296	20:16:30			
296	20:17:00			
296	20:17:30			
296	20:18:00			
295	20:18:30			
295	20:19:00			
296	20:19:30			
296	20:20:00			
295	20:20:30			
296	20:21:00			
294	20:21:30			
295	20:22:00			
294	20:22:30			
294	20:23:00			
295	20:23:30			
294	20:24:00			
295	20:24:30			
294	20:25:00			
295	20:25:30			
294	20:26:00			
294	20:26:30			
295	20:27:00			
294	20:27:30			
293	20:28:00			
294	20:28:30			
293	20:29:00			
293	20:29:30			
292	20:30:00			
292	20:30:30			
292	20:31:00			
293	20:31:30			
293	20:32:00			
292	20:32:30			
289	20:33:00			
289	20:33:30			
291	20:34:00			
290	20:34:30			
292	20:35:00			
291	20:35:30			
291	20:36:00			
292	20:36:30			
291	20:37:00			
292	20:37:30			
292	20:38:00			
291	20:38:30			
292	20:39:00			
291	20:39:30			
290	20:40:00			
290	20:40:30			
290	20:41:00			
290	20:41:30			
290	20:42:00			
290	20:42:30			
291	20:43:00			
290	20:43:30			
289	20:44:00			
289	20:44:30			
290	20:45:00			
290	20:45:30			
289	20:46:00			
290	20:46:30			
289	20:47:00			
289	20:47:30			
289	20:48:00			
289	20:48:30			
288	20:49:00			
289	20:49:30			
288	20:50:00			
289	20:50:30			
288	20:51:00			
289	20:51:30			
288	20:52:00			
288	20:52:30			
287	20:53:00			
287	20:53:30			
287	20:54:00			
287	20:54:30			
288	20:55:00			
287	20:55:30			
288	20:56:00			
288	20:56:30			
288	20:57:00			
286	20:57:30			
286	20:58:00			
288	20:58:30			
286	20:59:00			
286	20:59:30			
287	21:00:00			
286	21:00:30			
288	21:01:00			
287	21:01:30			
286	21:02:00			
286	21:02:30			
286	21:03:00			
287	21:03:30			
287	21:04:00			
287	21:04:30			
286	21:05:00			
286	21:05:30			
286	21:06:00			
287	21:06:30			
287	21:07:00			
287	21:07:30			
285	21:08:00			
287	21:08:30			
287	21:09:00			
286	21:09:30			
286	21:10:00			
287	21:10:30			
286	21:11:00			
286	21:11:30			
286	21:12:00			
286	21:12:30			
286	21:13:00			
286	21:13:30			
286	21:14:00			
287	21:14:30			
286	21:15:00			
286	21:15:30			
287	21:16:00			
287	21:16:30			
286	21:17:00			
285	21:17:30			
286	21:18:00			
286	21:18:30			
286	21:19:00			
285	21:19:30			
286	21:20:00			
286	21:20:30			
286	21:21:00			
285	21:21:30			
285	21:22:00			
285	21:22:30			
285	21:23:00			
285	21:23:30			
284	21:24:00			
285	21:24:30			
285	21:25:00			
286	21:25:30			
284	21:26:00			
284	21:26:30			
285	21:27:00			
285	21:27:30			
283	21:28:00			
284	21:28:30			
285	21:29:00			
284	21:29:30			
285	21:30:00			
285	21:30:30			
285	21:31:00			
285	21:31:30			
284	21:32:00			
284	21:32:30			
284	21:33:00			
283	21:33:30			
285	21:34:00			
285	21:34:30			
285	21:35:00			
285	21:35:30			
283	21:36:00			
285	21:36:30			
286	21:37:00			
286	21:37:30			
284	21:38:00			
285	21:38:30			
284	21:39:00			
285	21:39:30			
284	21:40:00			
284	21:40:30			
285	21:41:00			
285	21:41:30			
283	21:42:00			
285	21:42:30			
284	21:43:00			
285	21:43:30			
284	21:44:00			
284	21:44:30			
284	21:45:00			
285	21:45:30			
285	21:46:00			
284	21:46:30			
285	21:47:00			
285	21:47:30			
285	21:48:00			
283	21:48:30			
284	21:49:00			
284	21:49:30			
283	21:50:00			
284	21:50:30			
283	21:51:00			
285	21:51:30			
284	21:52:00			
284	21:52:30			
284	21:53:00			
