Humedad	Hora		
505	12:22:00		
509	12:22:30		
514	12:23:00		
516	12:23:30		
518	12:24:00		
522	12:24:30		
518	12:25:00		
522	12:25:30		
521	12:26:00		
524	12:26:30		
524	12:27:00		
525	12:27:30		
527	12:28:00		
528	12:28:30		
533	12:29:00		
532	12:29:30		
533	12:30:00		
537	12:30:30		
537	12:31:00		
539	12:31:30		
539	12:32:00		
538	12:32:30		
540	12:33:00		
542	12:33:30		
542	12:34:00		
544	12:34:30		
545	12:35:00		
544	12:35:30		
544	12:36:00		
546	12:36:30		
544	12:37:00		
546	12:37:30		
547	12:38:00		
548	12:38:30		
547	12:39:00		
549	12:39:30		
547	12:40:00		
546	12:40:30		
546	12:41:00		
548	12:41:30		
547	12:42:00		
547	12:42:30		
548	12:43:00		
547	12:43:30		
551	12:44:00		
548	12:44:30		
548	12:45:00		
549	12:45:30		
549	12:46:00		
548	12:46:30		
550	12:47:00		
548	12:47:30		
546	12:48:00		
547	12:48:30		
547	12:49:00		
546	12:49:30		
546	12:50:00		
544	12:50:30		
546	12:51:00		
546	12:51:30		
545	12:52:00		
547	12:52:30		
546	12:53:00		
547	12:53:30		
544	12:54:00		
545	12:54:30		
544	12:55:00		
542	12:55:30		
542	12:56:00		
545	12:56:30		
544	12:57:00		
545	12:57:30		
544	12:58:00		
542	12:58:30		
543	12:59:00		
545	12:59:30		
543	13:00:00		
543	13:00:30		
541	13:01:00		
542	13:01:30		
542	13:02:00		
545	13:02:30		
543	13:03:00		
542	13:03:30		
540	13:04:00		
540	13:04:30		
541	13:05:00		
542	13:05:30		
541	13:06:00		
541	13:06:30		
541	13:07:00		
540	13:07:30		
541	13:08:00		
539	13:08:30		
539	13:09:00		
539	13:09:30		
540	13:10:00		
538	13:10:30		
539	13:11:00		
541	13:11:30		
539	13:12:00		
536	13:12:30		
538	13:13:00		
537	13:13:30		
538	13:14:00		
537	13:14:30		
539	13:15:00		
537	13:15:30		
538	13:16:00		
537	13:16:30		
538	13:17:00		
536	13:17:30		
536	13:18:00		
536	13:18:30		
536	13:19:00		
538	13:19:30		
534	13:20:00		
536	13:20:30		
540	13:21:00		
543	13:21:30		
544	13:22:00		
548	13:22:30		
548	13:23:00		
548	13:23:30		
549	13:24:00		
550	13:24:30		
551	13:25:00		
552	13:25:30		
554	13:26:00		
555	13:26:30		
556	13:27:00		
556	13:27:30		
556	13:28:00		
558	13:28:30		
559	13:29:00		
557	13:29:30		
560	13:30:00		
560	13:30:30		
559	13:31:00		
562	13:31:30		
561	13:32:00		
562	13:32:30		
561	13:33:00		
561	13:33:30		
563	13:34:00		
564	13:34:30		
565	13:35:00		
564	13:35:30		
564	13:36:00		
562	13:36:30		
564	13:37:00		
564	13:37:30		
566	13:38:00		
565	13:38:30		
566	13:39:00		
567	13:39:30		
567	13:40:00		
566	13:40:30		
565	13:41:00		
565	13:41:30		
568	13:42:00		
567	13:42:30		
566	13:43:00		
566	13:43:30		
567	13:44:00		
567	13:44:30		
565	13:45:00		
564	13:45:30		
562	13:46:00		
562	13:46:30		
563	13:47:00		
562	13:47:30		
562	13:48:00		
562	13:48:30		
562	13:49:00		
563	13:49:30		
562	13:50:00		
560	13:50:30		
561	13:51:00		
559	13:51:30		
559	13:52:00		
561	13:52:30		
561	13:53:00		
562	13:53:30		
562	13:54:00		
560	13:54:30		
562	13:55:00		
563	13:55:30		
562	13:56:00		
562	13:56:30		
562	13:57:00		
562	13:57:30		
562	13:58:00		
561	13:58:30		
563	13:59:00		
562	13:59:30		
562	14:00:00		
563	14:00:30		
563	14:01:00		
563	14:01:30		
564	14:02:00		
563	14:02:30		
561	14:03:00		
563	14:03:30		
564	14:04:00		
563	14:04:30		
562	14:05:00		
562	14:05:30		
560	14:06:00		
559	14:06:30		
560	14:07:00		
559	14:07:30		
548	14:08:00		
553	14:08:30		
556	14:09:00		
593	14:09:30		
600	14:10:00		
169	14:10:30		
203	14:11:00		
258	14:11:30		
294	14:12:00		
305	14:12:30		
309	14:13:00		
309	14:13:30		
300	14:14:00		
276	14:14:30		
266	14:15:00		
255	14:15:30		
246	14:16:00		
242	14:16:30		
235	14:17:00		
232	14:17:30		
228	14:18:00		
226	14:18:30		
223	14:19:00		
221	14:19:30		
220	14:20:00		
218	14:20:30		
216	14:21:00		
215	14:21:30		
214	14:22:00		
212	14:22:30		
212	14:23:00		
210	14:23:30		
210	14:24:00		
209	14:24:30		
209	14:25:00		
207	14:25:30		
207	14:26:00		
206	14:26:30		
207	14:27:00		
208	14:27:30		
207	14:28:00		
205	14:28:30		
205	14:29:00		
206	14:29:30		
205	14:30:00		
205	14:30:30		
204	14:31:00		
205	14:31:30		
205	14:32:00		
204	14:32:30		
204	14:33:00		
203	14:33:30		
203	14:34:00		
204	14:34:30		
203	14:35:00		
202	14:35:30		
202	14:36:00		
202	14:36:30		
203	14:37:00		
203	14:37:30		
203	14:38:00		
202	14:38:30		
202	14:39:00		
203	14:39:30		
203	14:40:00		
203	14:40:30		
203	14:41:00		
203	14:41:30		
202	14:42:00		
204	14:42:30		
203	14:43:00		
203	14:43:30		
203	14:44:00		
203	14:44:30		
202	14:45:00		
203	14:45:30		
204	14:46:00		
204	14:46:30		
203	14:47:00		
203	14:47:30		
202	14:48:00		
203	14:48:30		
203	14:49:00		
203	14:49:30		
203	14:50:00		
203	14:50:30		
204	14:51:00		
203	14:51:30		
203	14:52:00		
203	14:52:30		
203	14:53:00		
202	14:53:30		
202	14:54:00		
202	14:54:30		
204	14:55:00		
203	14:55:30		
202	14:56:00		
202	14:56:30		
204	14:57:00		
203	14:57:30		
203	14:58:00		
202	14:58:30		
203	14:59:00		
203	14:59:30		
204	15:00:00		
202	15:00:30		
203	15:01:00		
203	15:01:30		
203	15:02:00		
