Humedad	Hora		
585	12:37:30		
578	12:38:00		
573	12:38:30		
570	12:39:00		
586	12:39:30		
822	12:40:00		
814	12:40:30		
807	12:41:00		
805	12:41:30		
488	12:42:00		
497	12:42:30		
497	12:43:00		
498	12:43:30		
499	12:44:00		
502	12:44:30		
503	12:45:00		
502	12:45:30		
504	12:46:00		
507	12:46:30		
508	12:47:00		
508	12:47:30		
509	12:48:00		
511	12:48:30		
511	12:49:00		
511	12:49:30		
511	12:50:00		
512	12:50:30		
515	12:51:00		
515	12:51:30		
515	12:52:00		
514	12:52:30		
517	12:53:00		
517	12:53:30		
517	12:54:00		
518	12:54:30		
516	12:55:00		
517	12:55:30		
517	12:56:00		
515	12:56:30		
517	12:57:00		
515	12:57:30		
515	12:58:00		
514	12:58:30		
515	12:59:00		
515	12:59:30		
516	13:00:00		
514	13:00:30		
514	13:01:00		
510	13:01:30		
513	13:02:00		
512	13:02:30		
512	13:03:00		
512	13:03:30		
512	13:04:00		
511	13:04:30		
510	13:05:00		
511	13:05:30		
510	13:06:00		
510	13:06:30		
509	13:07:00		
508	13:07:30		
508	13:08:00		
509	13:08:30		
507	13:09:00		
505	13:09:30		
505	13:10:00		
506	13:10:30		
506	13:11:00		
505	13:11:30		
505	13:12:00		
505	13:12:30		
503	13:13:00		
504	13:13:30		
503	13:14:00		
501	13:14:30		
500	13:15:00		
500	13:15:30		
500	13:16:00		
501	13:16:30		
500	13:17:00		
499	13:17:30		
497	13:18:00		
497	13:18:30		
497	13:19:00		
497	13:19:30		
497	13:20:00		
497	13:20:30		
495	13:21:00		
496	13:21:30		
494	13:22:00		
495	13:22:30		
495	13:23:00		
494	13:23:30		
496	13:24:00		
496	13:24:30		
494	13:25:00		
494	13:25:30		
495	13:26:00		
493	13:26:30		
492	13:27:00		
493	13:27:30		
494	13:28:00		
493	13:28:30		
492	13:29:00		
492	13:29:30		
493	13:30:00		
493	13:30:30		
493	13:31:00		
493	13:31:30		
492	13:32:00		
493	13:32:30		
493	13:33:00		
494	13:33:30		
493	13:34:00		
494	13:34:30		
493	13:35:00		
492	13:35:30		
490	13:36:00		
490	13:36:30		
491	13:37:00		
490	13:37:30		
490	13:38:00		
488	13:38:30		
491	13:39:00		
489	13:39:30		
490	13:40:00		
490	13:40:30		
490	13:41:00		
488	13:41:30		
489	13:42:00		
488	13:42:30		
488	13:43:00		
489	13:43:30		
489	13:44:00		
488	13:44:30		
487	13:45:00		
487	13:45:30		
488	13:46:00		
486	13:46:30		
487	13:47:00		
486	13:47:30		
487	13:48:00		
487	13:48:30		
488	13:49:00		
487	13:49:30		
485	13:50:00		
486	13:50:30		
487	13:51:00		
486	13:51:30		
486	13:52:00		
485	13:52:30		
485	13:53:00		
486	13:53:30		
486	13:54:00		
485	13:54:30		
485	13:55:00		
485	13:55:30		
485	13:56:00		
486	13:56:30		
487	13:57:00		
484	13:57:30		
485	13:58:00		
484	13:58:30		
486	13:59:00		
486	13:59:30		
485	14:00:00		
483	14:00:30		
484	14:01:00		
483	14:01:30		
482	14:02:00		
484	14:02:30		
483	14:03:00		
483	14:03:30		
482	14:04:00		
484	14:04:30		
483	14:05:00		
483	14:05:30		
482	14:06:00		
482	14:06:30		
484	14:07:00		
480	14:07:30		
483	14:08:00		
482	14:08:30		
482	14:09:00		
483	14:09:30		
484	14:10:00		
484	14:10:30		
482	14:11:00		
482	14:11:30		
482	14:12:00		
481	14:12:30		
482	14:13:00		
483	14:13:30		
481	14:14:00		
482	14:14:30		
484	14:15:00		
482	14:15:30		
482	14:16:00		
481	14:16:30		
482	14:17:00		
482	14:17:30		
483	14:18:00		
483	14:18:30		
482	14:19:00		
482	14:19:30		
481	14:20:00		
481	14:20:30		
481	14:21:00		
480	14:21:30		
479	14:22:00		
480	14:22:30		
481	14:23:00		
480	14:23:30		
480	14:24:00		
480	14:24:30		
480	14:25:00		
480	14:25:30		
479	14:26:00		
480	14:26:30		
479	14:27:00		
480	14:27:30		
480	14:28:00		
481	14:28:30		
480	14:29:00		
480	14:29:30		
481	14:30:00		
479	14:30:30		
478	14:31:00		
479	14:31:30		
480	14:32:00		
481	14:32:30		
479	14:33:00		
479	14:33:30		
479	14:34:00		
480	14:34:30		
480	14:35:00		
479	14:35:30		
478	14:36:00		
479	14:36:30		
478	14:37:00		
479	14:37:30		
480	14:38:00		
478	14:38:30		
478	14:39:00		
478	14:39:30		
478	14:40:00		
478	14:40:30		
479	14:41:00		
479	14:41:30		
477	14:42:00		
478	14:42:30		
477	14:43:00		
477	14:43:30		
478	14:44:00		
478	14:44:30		
475	14:45:00		
477	14:45:30		
479	14:46:00		
477	14:46:30		
477	14:47:00		
477	14:47:30		
477	14:48:00		
476	14:48:30		
478	14:49:00		
478	14:49:30		
477	14:50:00		
477	14:50:30		
477	14:51:00		
475	14:51:30		
475	14:52:00		
476	14:52:30		
476	14:53:00		
475	14:53:30		
474	14:54:00		
474	14:54:30		
474	14:55:00		
475	14:55:30		
473	14:56:00		
475	14:56:30		
474	14:57:00		
473	14:57:30		
475	14:58:00		
475	14:58:30		
474	14:59:00		
473	14:59:30		
472	15:00:00		
473	15:00:30		
474	15:01:00		
473	15:01:30		
475	15:02:00		
473	15:02:30		
475	15:03:00		
474	15:03:30		
473	15:04:00		
473	15:04:30		
473	15:05:00		
473	15:05:30		
473	15:06:00		
472	15:06:30		
472	15:07:00		
472	15:07:30		
473	15:08:00		
474	15:08:30		
473	15:09:00		
472	15:09:30		
472	15:10:00		
